VENUE_NAME,VENUE_CITY,CAPACITY
Bowery Ballroom,New York,575.0
Avalon Hollywood,Hollywood,1500
El Oaxaqueño Banquet Hall,Lakewood,400
La Boom,Woodside,1300
Fox Theater - Oakland,Oakland,2800.0
House of Blues Chicago,Chicago,1500
Theatre of Living Arts,Philadelphia,800
Varsity Theater,Minneapolis,750
Arizona Financial Theatre,Phoenix,5000
Pechanga Resort Casino,Temecula,NA
Kiva Auditorium at the Albuquerque Convention Center,Albuquerque,2300
Music Farm,Charleston,13500
The Pyramid Scheme,Grand Rapids,420
Ace of Spades,Sacramento,2000.0
The Van Buren,Phoenix,1900.0
Fillmore Auditorium (Denver),Denver,3900
Marathon Music Works,Nashville,1800
House of Blues Houston,Houston,1500.0
House of Blues Orlando,Orlando,1500.0
House of Blues Dallas ,Dallas,1500
Brooklyn Paramount,Brooklyn,2700.0
The Wiltern,Los Angeles,3000
Tabernacle,Atlanta,2600
The Fillmore Silver Spring,Silver Spring,750
The Venue at Thunder Valley Casino Resort,Lincoln,4500
Uptown Theater,Kansas City,1700
Hobart Art Theatre,Hobart,500
The Mercury Music Lounge,Lakewood,250
The Forge,Joliet,950
Off The Rails Music Venue,Worcester,5000
Mullett Arena ,Tempe,5000
Grossinger Motors Arena,Bloomington,7000
Alliant Energy PowerHouse,Cedar Rapids,9000
Angel Of The Winds Arena,Everett,10000
Findlay Toyota Center,Prescott Valley,6200
Toyota Center Kennewick,Kennewick,7200
Cable Dahmer Arena,Independence,5800
Salem Civic Center,Salem,6820
Toyota Arena,Ontario,11089
Nova SD,San Diego,700
Summit,Denver,1000
9:30 CLUB,Washington,1200.0
The Underground,Charlotte,800
Irving Plaza Powered By Verizon 5G,New York,1200
Paradise Rock Club presented by Citizens,Boston,NA
Sphere,Las Vegas,20000.0
South Side Ballroom,Dallas,933
Stubb's Waller Creek Amphitheater,Austin,2600
Elliott Hall of Music,West Lafayette,6005
Bayou Music Center,Houston,3000
Hollywood Palladium,Hollywood,4000
House of Blues Anaheim,Anaheim,1500.0
The Observatory North Park,San Diego,100.0
Lori's Road House,West Chester,NA
Citizens House of Blues Boston,Boston,1500
Brooklyn Bowl Nashville,Nashville,1200
Saint Andrew's Hall,Detroit,1000
The Senate,Columbia,1200
Howard Theatre,Washington D.C.,800.0
The Echo Lounge & Music Hall,Dallas,NA
TempleLive Wichita,Wichita,NA
