,MIN_PRICE,MAX_PRICE,CLASSIFICATION_GENRE,VENUE_LATITUDE,VENUE_LONGITUDE
8,35.0,59.5,World,40.77517125,-73.56055321
10,22.5,22.5,Hip-Hop/Rap,27.959926,-82.442705
11,20.0,20.0,Pop,40.720364,-73.993542
30,48.6,57.94,Undefined,25.94960232,-80.13458177
31,15.0,119.75,Religious,38.8330513,-77.3098503
38,89.95,99.95,Undefined,36.113397,-115.160087
45,15.0,15.0,Other,39.985866,-83.005629
54,45.0,250.0,Rock,42.2794021,-83.7419107
152,24.95,24.95,Dance/Electronic,34.102718,-118.327156
166,34.71,77.97,Religious,35.553125,-77.396364
174,19.95,19.95,Other,39.73355,-104.98706
181,23.0,23.0,Alternative,42.28014,-83.7511
191,12.0,12.0,Rock,42.36422,-71.10133
192,15.39,828.05,Hip-Hop/Rap,37.330003,-121.885808
194,25.0,75.0,Rock,41.527733,-88.081972
196,0.0,14.95,Reggae,33.64245,-117.91764
217,10.0,10.0,Alternative,42.28014,-83.7511
263,12.0,12.0,Alternative,40.014735,-83.000349
309,14.01,14.01,Dance/Electronic,40.702624,-73.929611
311,12.0,12.0,Metal,42.36422,-71.10133
348,35.0,35.0,Country,38.569993,-121.49087928
374,10.0,10.0,World,41.508513,-81.580335
388,22.5,22.5,R&B,33.699879,-117.917493
402,50.0,50.0,World,40.09209593069998,-74.21495800000001
405,10.0,10.0,Rock,41.508513,-81.580335
420,59.5,159.0,Rock,38.8961209,-77.0296101
445,25.0,25.0,Blues,30.262134,-97.729399
487,20.0,20.0,Rock,34.04898,-118.23365
490,42.0,52.0,Rock,42.0625412,-87.7467848
499,17.0,17.0,Rock,47.5590595,-122.303927
518,32.36,112.64,R&B,37.769739,-122.420282
614,25.0,39.5,Rock,32.78521325,-96.80851279
645,18.0,18.0,Rock,40.25371273,-76.86916645
653,25.0,25.0,Dance/Electronic,41.91287,-87.6634
703,59.95,229.95,World,38.84026,-121.31368
704,20.0,50.0,Pop,26.200545,-98.259145
734,36.5,46.5,Rock,33.43699137,-111.94398356
764,29.5,29.5,Rock,38.569993,-121.49087928
768,40.0,60.0,R&B,35.962335,-83.917015
784,39.5,85.0,Dance/Electronic,43.6133,-116.20705
805,9.97,9.97,Rock,33.7918926,-84.3877907
808,35.0,55.0,R&B,37.8077176,-122.2700597
831,20.0,20.0,Dance/Electronic,42.35330048,-71.04747991
834,50.0,130.0,Rock,33.448775,-112.079564
854,55.12,55.12,World,39.672363,-104.865271
874,15.0,15.0,Country,39.092089,-84.493152
882,10.0,10.0,Rock,32.784321,-96.784998
887,22.0,22.0,Rock,47.6612386,-122.3654455
892,12.0,12.0,Metal,40.245112,-76.898304
900,0.0,0.0,Pop,39.092089,-84.493152
915,24.5,44.5,Country,41.52581394,-90.50517
923,25.0,45.0,Rock,33.451085,-112.079228
927,125.0,125.0,Dance/Electronic,29.949399,-90.064806
929,35.0,35.0,Rock,30.268487,-97.736192
935,34.5,144.5,Metal,44.979657,-93.274889
936,0.0,0.0,Other,28.55976,-81.36474
1008,15.0,15.0,Latin,40.3563327,-75.9196123
1045,49.0,249.0,Latin,33.445899,-112.071313
1060,16.5,16.5,Rock,33.806533,-117.912474
1093,17.45,17.45,Jazz,35.820643,-86.266806
1098,10.0,10.0,Country,31.335558,-89.345157
1140,20.0,20.0,Rock,34.077729,-118.260108
1174,89.95,99.95,Undefined,36.113397,-115.160087
1183,19.95,19.95,Dance/Electronic,33.64245,-117.91764
1188,24.95,24.95,Dance/Electronic,34.10205,-118.3209
1199,17.45,17.45,Alternative,40.7257,-73.991673
1200,13.61,13.61,Other,40.722974,-73.98608
1209,15.0,15.0,Alternative,36.15872,-95.99396
1212,37.0,37.0,Rock,26.166888,-80.117058
1249,40.0,40.0,Jazz,29.964167,-90.057912
1256,25.0,25.0,Reggae,40.220001,-74.00071097
