artist_name,artist_spotify_id,scraped_popularity
Andy Cooney,5VvwWwGWFTwMJfKc3cvKkp,17
Mick Thomas,,-1
Sean Finnerty,,-1
bbno$,41X1TR6hrK8Q2ZCpp2EqCz,76
Jungle Bobby,2OOLZKc1j4FoOCHOgGbtRl,37
Rachel Bobbitt,2scnOsuExko5GJdIYZdEnC,33
"Thriller A Michael Jackson Tribute",,-1
TOBYMAC,5VX8hxrcfJWwaTLiqGUHG3,66
Crowder,39xmI59WrIMyyJjSDq6WCu,61
CAIN,2XDaX0gxzE4eCXjPPAREEq,59
Ryan Stevenson,1rxhmvc4pue9A2fEXnLT97,52
Terrian,19TPpTWkgX13Qc2stbqVoP,59
The Rat Pack Is Back (Las Vegas),,-1
Noche de Verano Sin Ti,,-1
Elvis Costello & Steve Nieve,,-1
Rend Collective,11Y54BxlxC3UIAUkU2eadQ,60
Andy Cooney,5VvwWwGWFTwMJfKc3cvKkp,17
Mick Thomas,,-1
Sean Finnerty,,-1
bbno$,41X1TR6hrK8Q2ZCpp2EqCz,76
Jungle Bobby,2OOLZKc1j4FoOCHOgGbtRl,37
Rachel Bobbitt,2scnOsuExko5GJdIYZdEnC,33
"Thriller A Michael Jackson Tribute",,-1
Crowder,39xmI59WrIMyyJjSDq6WCu,61
CAIN,2XDaX0gxzE4eCXjPPAREEq,59
Ryan Stevenson,1rxhmvc4pue9A2fEXnLT97,52
Terrian,19TPpTWkgX13Qc2stbqVoP,59
The Rat Pack Is Back (Las Vegas),,-1
Noche de Verano Sin Ti,,-1
Elvis Costello & Steve Nieve,,-1
Rend Collective,11Y54BxlxC3UIAUkU2eadQ,60
Reggaeton Rave,,-1
Two Cow Garage,47oLtOqeDZeU4CU2Aq3M37,14
Alexandra Kay,67ZcPnEGiAlCx2O3sQarWV,56
Logan Crosby,7FUAyXZ6S06Vr6HzCqGK5Q,30
New West,69bG9tC62d8oTFC9aTTosn,69
La Sonora Dinamita,13or1Wf6ipcvSIiurZATvw,65
Jason Isbell,3Q8wgwyVVv0z4UEh1HB0KY,54
Daniel Donato,0BPT9SFoQzi6Pfk387jLE8,38
Elizabeth Lentz,27Jf5LQlR1F9OFxIuE8JwN,23
Edwin McCain,0L6Gwm0JDrgIQJfjarWSUR,54
The Wood Brothers,6FxuPrpa8phaP3Xn73emhT,47
Bandits On the Run,40wE5c0s5AtxRwWXoPzBg6,24
The Courettes,6WgWgrr6uzaekOZjXYKD2E,24
Tommy Richman,1WaFQSHVGZQJTbf0BdxdNo,75
Kilmaine Saints,7fWCINii4v9lKvIn6lsGQx,22
Klangphonics,0UoXOPQo2BAZ3pSfkt5XZA,44
Skiy,,-1
Sarah Geronimo,6aiCKnIN68hohzU3ZzNq48,60
Bamboo,0c7d9V8rjfT6tzojfBfRf5,54
"Shake Rattle & Roll",,-1
Movements,1kkyfIopIiVvaPHHlbsfac,58
Citizen,0znuUIjvP0LXEslfaq0Nor,52
Downward,4UrucNI79ErkrEjHCbXKxU,30
Myles Kennedy,2YZOQlBE1v44RxPEAVSdVR,50
Tim Montana,5RM955coCWa6UkFtlMapwC,42
Black Violin,4zeHJ3kiJyjYXlIOcG4MA7,35
Sullivan King,1CXuuw8HJhyN80HlNzvL1e,55
Yookie,26RHyTSsP5JoS4udf8txU5,44
Grabbitz,4fv1OFJywZ7DHCz3mVQQ45,59
Cedric Gervais,4Wjf8diP59VmPG7fi4y724,64
Roy Rogers,7Fhopp9XWiqrS7oMw0BKjM,31
