Unnamed: 0,EVENT_ID,EVENT_NAME,EVENT_START_DATETIME,EVENT_END_DATETIME,CLASSIFICATION_GENRE,CLASSIFICATION_SUB_GENRE,MIN_PRICE,MAX_PRICE,ATTRACTION_NAME,ATTRACTION_ID,VENUE_NAME,VENUE_ID,VENUE_STREET,VENUE_CITY,VENUE_STATE_CODE,VENUE_TIMEZONE,CLASSIFICATION_TYPE,CLASSIFICATION_SUB_TYPE,ATTRACTION_CLASSIFICATION_SEGMENT,ATTRACTION_CLASSIFICATION_GENRE,ATTRACTION_CLASSIFICATION_SUB_GENRE,ATTRACTION_CLASSIFICATION_TYPE,ATTRACTION_CLASSIFICATION_SUB_TYPE,TRANSACTABLE,HOT_EVENT,scrape_time,city,city_ascii,state_id,state_name,population,CAPACITY
8,k7vGFb8zt7yQJ,Irish Celebration Starring Andy Cooney,2025-03-02 20:00:00+00:00,,World,World,35.0,59.5,Andy Cooney|Mick Thomas|Sean Finnerty,K8vZ9171io0|K8vZ917hp4V|K8vZ9179W1f,Flagstar at Westbury Music Fair,KovZpZAEAEaA,960 Brush Hollow Road,Westbury,NY,America/New_York,Undefined,Undefined,Music|Music|Arts & Theatre,World|Rock|Comedy,World|Pop|Comedy,Undefined|Individual|Individual,Undefined|Musician|Comedian,True,True,2025-02-16 13:21:00.911959,Westbury,Westbury,NY,New York,15351.0,3000.0
10,vvG1VZb41CZdEo,bbno$: it's pronounced baby no money,2025-03-01 23:30:00+00:00,,Hip-Hop/Rap,French Rap,22.5,22.5,bbno$|Jungle Bobby,K8vZ917pHC0|K8vZ917Q3D7,The Ritz Ybor,KovZpapdwe,1503 E 7th Ave,Tampa,FL,America/New_York,Undefined,Undefined,Music|Music,Hip-Hop/Rap|Dance/Electronic,Hip-Hop/Rap|Dance/Electronic,Individual|Individual,Musician|Musician,True,False,2025-02-16 13:21:00.911959,Tampa,Tampa,FL,Florida,2908063.0,
11,k7vGFb45tn6T5,Jordana,2025-02-23 01:00:00+00:00,,Pop,Pop,20.0,20.0,Jordana|Rachel Bobbitt,K8vZ917bwRf|K8vZ917QlrV,Bowery Ballroom,KovZpZA7dkJA,6 Delancey St.,New York,NY,America/New_York,Undefined,Undefined,Music|Music,Pop|Alternative,Indie Pop|Alternative,Individual|Individual,Musician|Musician,True,True,2025-02-16 13:21:00.911959,New York,New York,NY,New York,18713220.0,575.0
30,vvG1VZbuKuU0dL,"Thriller, A Michael Jackson Tribute",2025-02-23 01:00:00+00:00,,Undefined,Undefined,48.6,57.94,"Thriller, A Michael Jackson Tribute",K8vZ917h-hV,Aventura Arts & Cultural Center,KovZpZAEvlAA,3385 NE 188th Street,Aventura,FL,America/New_York,Group,Tribute Band,Music,Undefined,Undefined,Group,Tribute Band,True,False,2025-02-16 13:21:00.911959,Aventura,Aventura,FL,Florida,36987.0,
31,1AvfZboGkmXqxYe,"TOBYMAC with Crowder, CAIN, Ryan Stevenson and Terrian: Hits Deep Tour",2025-02-23 00:00:00+00:00,,Religious,Gospel,15.0,119.75,TOBYMAC|Crowder|CAIN|Ryan Stevenson|Terrian,K8vZ9175Av7|K8vZ9178C4f|K8vZfZ7tFAk|K8vZ9173MkV|K8vZ917_dqf,EagleBank Arena,KovZpZAE76EA,4500 Patriot Circle,Fairfax,VA,America/New_York,Undefined,Undefined,Music|Music|Music|Music|Music,Religious|Rock|Religious|Religious|R&B,Gospel|Pop|Gospel|Gospel|R&B,Undefined|Undefined|Group|Undefined|Individual,Undefined|Undefined|Band|Undefined|Artist,True,False,2025-02-16 13:21:00.911959,Fairfax,Fairfax,VA,Virginia,24019.0,
38,1AyZkAVGkdqI5yZ,The Rat Pack Is Back (Las Vegas),2025-03-19 02:30:00+00:00,,Undefined,Undefined,89.95,99.95,The Rat Pack Is Back (Las Vegas),K8vZ9172Sj0,The Copa Room at Tuscany Suites,KovZ917AGG7,255 E. Flamingo Rd,Las Vegas,NV,America/Los_Angeles,Group,Tribute Band,Music,Undefined,Undefined,Group,Tribute Band,True,False,2025-02-16 13:21:00.911959,Las Vegas,Las Vegas,NV,Nevada,2104198.0,
45,rZ7HnEZ1AfF80S,DEBÍ TIRAR MÁS FIESTAS | The Bad Bunny Party 🔥,2025-03-09 02:00:00+00:00,,Other,,15.0,15.0,Noche de Verano Sin Ti,K8vZ917QI80,Skully's Music Diner,rZ7HnEZaA9c,1151 North High Street,Columbus,OH,America/New_York,Undefined,Undefined,Music,Latin,Latin,Undefined,Undefined,,False,2025-02-16 13:21:00.911959,Columbus,Columbus,OH,Ohio,1562009.0,
54,vv1AFZkAYGkdOE4Ey,Elvis Costello & Steve Nieve,2025-03-09 01:00:00+00:00,,Rock,Alternative Rock,45.0,250.0,Elvis Costello & Steve Nieve,K8vZ917jFQ0,Michigan Theater,KovZpZAdEaEA,603 East Liberty,Ann Arbor,MI,America/New_York,Undefined,Undefined,Music,Alternative,Alternative,Group,Band,True,True,2025-02-16 13:21:00.911959,Ann Arbor,Ann Arbor,MI,Michigan,322267.0,1700.0
153,rZ7HnEZ1AfF6xd,Robin Schulz,2025-03-16 05:00:00+00:00,,Dance/Electronic,House,24.95,24.95,Robin Schulz,K8vZ9173ya7,Avalon Hollywood,rZ7HnEZaeWy,1735 Vine St.,Hollywood,CA,America/Los_Angeles,Undefined,Undefined,Music,Dance/Electronic,Club Dance,Undefined,Undefined,,False,2025-02-16 13:21:00.911959,,,,,,1500.0
167,rZ7HnEZ1AfF97S,Rend Collective Folk! Tour,2025-03-08 00:00:00+00:00,,Religious,Contemporary Christian,34.71,77.97,Rend Collective,K8vZ9178YI0,Reimage Church,rZ7HnEZ173KFg,3950 Victory LN,Winterville,NC,America/New_York,Undefined,Undefined,Music,Religious,Gospel,Undefined,Undefined,,False,2025-02-16 13:21:00.911959,Winterville,Winterville,NC,North Carolina,9931.0,
