,Unnamed: 0,EVENT_ID,EVENT_NAME,EVENT_START_DATETIME,EVENT_END_DATETIME,CLASSIFICATION_GENRE,CLASSIFICATION_SUB_GENRE,MIN_PRICE,MAX_PRICE,ATTRACTION_NAME,ATTRACTION_ID,VENUE_NAME,VENUE_ID,VENUE_STREET,VENUE_CITY,VENUE_STATE_CODE,VENUE_TIMEZONE,CLASSIFICATION_TYPE,CLASSIFICATION_SUB_TYPE,ATTRACTION_CLASSIFICATION_SEGMENT,ATTRACTION_CLASSIFICATION_GENRE,ATTRACTION_CLASSIFICATION_SUB_GENRE,ATTRACTION_CLASSIFICATION_TYPE,ATTRACTION_CLASSIFICATION_SUB_TYPE,TRANSACTABLE,HOT_EVENT,scrape_time,city,city_ascii,state_id,state_name,population_x,CAPACITY,individual_artist,id,name,artist_popularity,artist_genres,followers,genre_0,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,lower_name,population_y,population,artist_name,artist_spotify_id,scraped_popularity,lower_artist_name
0,8,k7vGFb8zt7yQJ,Irish Celebration Starring Andy Cooney,2025-03-02 20:00:00+00:00,,World,World,35.0,59.5,Andy Cooney|Mick Thomas|Sean Finnerty,K8vZ9171io0|K8vZ917hp4V|K8vZ9179W1f,Flagstar at Westbury Music Fair,KovZpZAEAEaA,960 Brush Hollow Road,Westbury,NY,America/New_York,Undefined,Undefined,Music|Music|Arts & Theatre,World|Rock|Comedy,World|Pop|Comedy,Undefined|Individual|Individual,Undefined|Musician|Comedian,True,True,2025-02-16 13:21:00.911959,Westbury,Westbury,NY,New York,15351.0,3000.0,andy cooney,,,17.0,,,,,,,,,,,15351,15351,Andy Cooney,5VvwWwGWFTwMJfKc3cvKkp,17,andy cooney
1,10,vvG1VZb41CZdEo,bbno$: it's pronounced baby no money,2025-03-01 23:30:00+00:00,,Hip-Hop/Rap,French Rap,22.5,22.5,bbno$|Jungle Bobby,K8vZ917pHC0|K8vZ917Q3D7,The Ritz Ybor,KovZpapdwe,1503 E 7th Ave,Tampa,FL,America/New_York,Undefined,Undefined,Music|Music,Hip-Hop/Rap|Dance/Electronic,Hip-Hop/Rap|Dance/Electronic,Individual|Individual,Musician|Musician,True,False,2025-02-16 13:21:00.911959,Tampa,Tampa,FL,Florida,2908063.0,,bbno$,,,76.0,,,,,,,,,,,2908063,2908063,bbno$,41X1TR6hrK8Q2ZCpp2EqCz,76,bbno$
2,10,vvG1VZb41CZdEo,bbno$: it's pronounced baby no money,2025-03-01 23:30:00+00:00,,Hip-Hop/Rap,French Rap,22.5,22.5,bbno$|Jungle Bobby,K8vZ917pHC0|K8vZ917Q3D7,The Ritz Ybor,KovZpapdwe,1503 E 7th Ave,Tampa,FL,America/New_York,Undefined,Undefined,Music|Music,Hip-Hop/Rap|Dance/Electronic,Hip-Hop/Rap|Dance/Electronic,Individual|Individual,Musician|Musician,True,False,2025-02-16 13:21:00.911959,Tampa,Tampa,FL,Florida,2908063.0,,jungle bobby,,,37.0,,,,,,,,,,,2908063,2908063,Jungle Bobby,2OOLZKc1j4FoOCHOgGbtRl,37,jungle bobby
3,31,1AvfZboGkmXqxYe,"TOBYMAC with Crowder, CAIN, Ryan Stevenson and Terrian: Hits Deep Tour",2025-02-23 00:00:00+00:00,,Religious,Gospel,15.0,119.75,TOBYMAC|Crowder|CAIN|Ryan Stevenson|Terrian,K8vZ9175Av7|K8vZ9178C4f|K8vZfZ7tFAk|K8vZ9173MkV|K8vZ917_dqf,EagleBank Arena,KovZpZAE76EA,4500 Patriot Circle,Fairfax,VA,America/New_York,Undefined,Undefined,Music|Music|Music|Music|Music,Religious|Rock|Religious|Religious|R&B,Gospel|Pop|Gospel|Gospel|R&B,Undefined|Undefined|Group|Undefined|Individual,Undefined|Undefined|Band|Undefined|Artist,True,False,2025-02-16 13:21:00.911959,Fairfax,Fairfax,VA,Virginia,24019.0,,tobymac,5VX8hxrcfJWwaTLiqGUHG3,TobyMac,63.0,"['ccm', 'christian alternative rock', 'christian hip hop', 'christian music']",1280257.0,ccm,christian alternative rock,christian hip hop,christian music,,,,tobymac,24019,24019,TOBYMAC,5VX8hxrcfJWwaTLiqGUHG3,66,tobymac
4,167,rZ7HnEZ1AfF97S,Rend Collective Folk! Tour,2025-03-08 00:00:00+00:00,,Religious,Contemporary Christian,34.71,77.97,Rend Collective,K8vZ9178YI0,Reimage Church,rZ7HnEZ173KFg,3950 Victory LN,Winterville,NC,America/New_York,Undefined,Undefined,Music,Religious,Gospel,Undefined,Undefined,,False,2025-02-16 13:21:00.911959,Winterville,Winterville,NC,North Carolina,9931.0,,rend collective,,,60.0,,,,,,,,,,,9931,9931,Rend Collective,11Y54BxlxC3UIAUkU2eadQ,60,rend collective
5,266,rZ7HnEZ1AfF8_K,The Return of TWO COW GARAGE & CALL ME RITA w/ Shiloh Hawkins,2025-02-22 02:00:00+00:00,,Alternative,Alternative Rock,12.0,12.0,Two Cow Garage,K8vZ917GDIV,Rumba Cafe,rZ7HnEZak6C,2507 Summit St,Columbus,OH,America/New_York,Undefined,Undefined,Music,Rock,Alternative Rock,Undefined,Undefined,,False,2025-02-16 13:21:00.911959,Columbus,Columbus,OH,Ohio,1562009.0,,two cow garage,,,14.0,,,,,,,,,,,1562009,1562009,Two Cow Garage,47oLtOqeDZeU4CU2Aq3M37,14,two cow garage
6,354,G5vYZbpwsywZi,ALEXANDRA KAY : CUPID'S A COWGIRL TOUR WITH SPECIAL GUEST LOGAN CROSBY,2025-03-17 02:00:00+00:00,,Country,Country,35.0,35.0,Alexandra Kay|Logan Crosby,K8vZ917_rk0|K8vZ917h9j7,Ace of Spades,KovZpZAJ6lvA,1417 R St.,Sacramento,CA,America/Los_Angeles,Undefined,Undefined,Music|Music,Country|Country,Country|Country,Individual|Individual,Musician|Musician,True,True,2025-02-16 13:21:00.911959,Sacramento,Sacramento,CA,California,1898019.0,2000.0,alexandra kay,,,56.0,,,,,,,,,,,1898019,1898019,Alexandra Kay,67ZcPnEGiAlCx2O3sQarWV,56,alexandra kay
7,354,G5vYZbpwsywZi,ALEXANDRA KAY : CUPID'S A COWGIRL TOUR WITH SPECIAL GUEST LOGAN CROSBY,2025-03-17 02:00:00+00:00,,Country,Country,35.0,35.0,Alexandra Kay|Logan Crosby,K8vZ917_rk0|K8vZ917h9j7,Ace of Spades,KovZpZAJ6lvA,1417 R St.,Sacramento,CA,America/Los_Angeles,Undefined,Undefined,Music|Music,Country|Country,Country|Country,Individual|Individual,Musician|Musician,True,True,2025-02-16 13:21:00.911959,Sacramento,Sacramento,CA,California,1898019.0,2000.0,logan crosby,,,30.0,,,,,,,,,,,1898019,1898019,Logan Crosby,7FUAyXZ6S06Vr6HzCqGK5Q,30,logan crosby
8,394,vv1AaZk7NGkdV8xpa,New West North American Tour '25,2025-03-01 03:00:00+00:00,,R&B,R&B,22.5,22.5,New West,K8vZ9175uHV,Constellation Room,KovZ917AGff,3503 South Harbor Boulevard,Santa Ana,CA,America/Los_Angeles,Undefined,Undefined,Music,R&B,R&B,Group,Band,False,False,2025-02-16 13:21:00.911959,Santa Ana,Santa Ana,CA,California,332318.0,,new west,,,69.0,,,,,,,,,,,332318,332318,New West,69bG9tC62d8oTFC9aTTosn,69,new west
9,426,1A4ZkAIGkeORerV,An Evening with Jason Isbell,2025-02-28 01:00:00+00:00,,Rock,Pop,59.5,159.0,Jason Isbell,K8vZ917GF97,Warner Theatre,KovZpZAJv7aA,513 13th St NW,Washington,DC,America/New_York,Undefined,Undefined,Music,Rock,Pop,Undefined,Undefined,True,True,2025-02-16 13:21:00.911959,Washington,Washington,DC,District of Columbia,5379184.0,1800.0,jason isbell,,,54.0,,,,,,,,,,,5379184,5379184,Jason Isbell,3Q8wgwyVVv0z4UEh1HB0KY,54,jason isbell
